reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C024,Angola,479158749
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C084,Belize,22531348
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C156,China,419272219233
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C410,"Korea, Republic of",112589532734
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C604,Peru,4848948063
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C634,Qatar,1930140132
"United States of America",C840,2024,MTN,MT4,NON_AG,"Non Agricultural products",C400,Jordan,3260125925
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C050,Bangladesh,6065473275
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C504,Morocco,839786400
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C887,Yemen,829551
"United States of America",C840,2022,MTN,MT4,NON_AG,"Non Agricultural products",C051,Armenia,60016241
"United States of America",C840,2022,MTN,MT4,NON_AG,"Non Agricultural products",C834,Tanzania,176886077
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C266,Gabon,74846131
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C804,Ukraine,1096957043
"United States of America",C840,2024,MTN,MT4,NON_AG,"Non Agricultural products",C368,Iraq,7566947306
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C586,Pakistan,3703931767
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C858,Uruguay,131353472
"United States of America",C840,2022,MTN,MT4,NON_AG,"Non Agricultural products",C384,"Côte d'Ivoire",231238106
"United States of America",C840,2024,MTN,MT4,NON_AG,"Non Agricultural products",C484,Mexico,443002908282
"United States of America",C840,2024,MTN,MT4,NON_AG,"Non Agricultural products",C804,Ukraine,940901088
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C792,Türkiye,9470212685
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C356,India,48681697494
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C659,"Saint Kitts and Nevis",13254659
"United States of America",C840,2021,MTN,MT4,NON_AG,"Non Agricultural products",C756,Switzerland,54298485083
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C826,"United Kingdom",43933655085
"United States of America",C840,2022,MTN,MT4,NON_AG,"Non Agricultural products",C308,Grenada,9518651
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C768,Togo,9072628
"United States of America",C840,2023,MTN,MT4,NON_AG,"Non Agricultural products",C894,Zambia,145329786
"United States of America",C840,2024,MTN,MT4,NON_AG,"Non Agricultural products",C548,Vanuatu,1932218
"United States of America",C840,2021,MTN,MT4,NON_AG,"Non Agricultural products",C818,Egypt,3008191639
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C231,Ethiopia,283974249
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C320,Guatemala,1602598353
"United States of America",C840,2020,MTN,MT4,NON_AG,"Non Agricultural products",C446,"Macao, China",88410978
