reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C031,Azerbaijan,4364005
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C148,Chad,2043108
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C180,"Democratic Republic of the Congo",6958787
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C328,Guyana,32728579
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C144,"Sri Lanka",177057040
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C600,Paraguay,240043221
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C096,"Brunei Darussalam",45843
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C480,Mauritius,27867036
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C214,"Dominican Republic",1625053989
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C112,Belarus,8295617
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C414,"Kuwait, the State of",666911
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C144,"Sri Lanka",192871701
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C430,Liberia,890031
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C438,Liechtenstein,57834
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C418,"Lao People's Democratic Republic",583813
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C858,Uruguay,825400319
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C586,Pakistan,181772640
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C076,Brazil,4734713489
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",N990,"Other Countries, n.e.s.",15746488
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C352,Iceland,46728127
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C764,Thailand,2759349662
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C834,Tanzania,45228406
